,Nº slots: 1,Nº slots: 2,Nº slots: 3,Nº slots: 4,Nº slots: 5
Media,"414,270586160407","416,02754099488","422,00982212982","425,935415710974","432,244579253608"
Desviacion tipica,"9,25505358051003","8,33624486064852","11,0160437277387","10,7484304968487","12,0833044019555"
Mejor,"395,526539416366","398,683704663991","403,524654875511","411,187858884002","409,106939082355"
Peor,"435,442407792758","434,821419969616","449,587408799189","457,324971260623","464,294769443389"
